"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
 6,0.28734855,0.3292147,0.05577768, 236.0,-0.750589836,0.235764236,1000, 6,0.35278473,0.4248765,0.06309843, 128.0, -1.142528042,0.127872128,1000, -2.458270524, 2.188101e+00, 9.020000e-01, 1.300000e-02,"Austria",2020-04-01, 82
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA,-1.606033e+00, 3.880000e-01, 5.400000e-01,"Belarus",2020-04-01, 82
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA, 1.746351e+01, 9.520000e-01, 5.100000e-02,"Belgium",2020-04-01, 82
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA,-2.138596e+00, 3.320000e-01, 6.010000e-01,"Bulgaria",2020-04-01, 82
 2,0.39214286,0.4237750,0.12776980, 355.0,-0.247571274,0.354645355,1000, 2,0.39214286,0.4238605,0.12662422, 372.5, -0.250485999,0.372127872,1000,NA, 5.342222e-01, 4.650000e-01, 3.790000e-01,"Cyprus",2020-04-01, 82
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA, 2.593513e+01, 3.550000e-01, 6.320000e-01,"Czech Republic",2020-04-01, 82
 5,0.25833632,0.3391684,0.05973385,  71.0,-1.353204137,0.070929071,1000, 5,0.34998801,0.4281862,0.07251207, 143.0, -1.078415842,0.142857143,1000, -1.081557216,-2.324920e+00, 0.000000e+00, 9.620000e-01,"Denmark",2020-04-01, 82
 4,0.26030959,0.3535476,0.07337443,  96.0,-1.270715927,0.095904096,1000, 4,0.32274899,0.4235844,0.08120774,  94.0, -1.241696650,0.093906094,1000, -0.557939293, 1.567675e-01, 2.600000e-01, 4.510000e-01,"Finland",2020-04-01, 82
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA,-7.746953e+00, 7.800000e-02, 8.360000e-01,"France",2020-04-01, 82
 3,0.52703078,0.3736334,0.08810017, 965.0, 1.741169579,0.964035964,1000, 3,0.60917011,0.4243773,0.09896767, 973.5,  1.867203265,0.972527473,1000, -0.959069472, 9.939169e-01, 5.340000e-01, 2.750000e-01,"Germany",2020-04-01, 82
