"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
  7,0.3117004000,0.3034392,0.024268224,491,  0.34041203,0.490509491,1000,  7,0.3119670381,0.3107519,0.004004428, 192.0,  0.303439731,0.191808192,1000,-3.86158752, 9.349959e-01, 5.770000e-01, 3.620000e-01,"Auvergne-Rhone-Alpes",2020-02-01, 23
  2,0.3120004000,0.3107826,0.017935992,402,  0.06789588,0.401598402,1000,  2,0.3120004000,0.3106250,0.020242449, 388.5,  0.067947033,0.388111888,1000,NA,-5.181055e+00, 1.740000e-01, 8.280000e-01,"Bretagne",2020-02-01, 23
  2,0.0002000000,0.3105566,0.020346805,  3,-15.25333520,0.002997003,1000,  2,0.0002000000,0.3103672,0.022402166,   3.5,-13.845412291,0.003496503,1000,NA, 2.377493e+01, 7.560000e-01, 2.580000e-01,"Grand Est",2020-02-01, 23
  6,0.2895722833,0.3050053,0.023359568, 54, -0.66067388,0.053946054,1000,  6,0.3074649267,0.3108438,0.004661114,  56.0, -0.724913458,0.055944056,1000,-3.13718537,-1.570702e+01, 0.000000e+00, 1.000000e+00,"Hauts-de-France",2020-02-01, 23
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA, 1.092147e+01, 5.950000e-01, 3.250000e-01,"Normandie",2020-02-01, 23
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA, 1.940651e+01, 8.930000e-01, 5.100000e-02,"Occitanie",2020-02-01, 23
  4,0.3118754700,0.3080190,0.022665599,589,  0.17014732,0.588411588,1000,  4,0.3121671067,0.3104061,0.008963665, 453.5,  0.196458294,0.453046953,1000,-2.43410896, 4.115574e+00, 7.570000e-01, 1.710000e-01,"Provence-Alpes-Cote d'Azur",2020-02-01, 23
 90,0.2056991333,0.2174161,0.012260947,172, -0.95563264,0.171828172,1000, 90,0.3036866192,0.3098746,0.008786804, 175.0, -0.704239669,0.174825175,1000,-7.72952000, 2.724002e-01, 0.000000e+00, 1.990000e-01,"Auvergne-Rhone-Alpes",2020-03-01,411
  4,0.1523412000,0.2894435,0.043899115,  4, -3.12312293,0.003996004,1000,  4,0.2626137333,0.3127349,0.059422176,  65.0, -0.843476156,0.064935065,1000,-0.45329524,-4.177971e+00, 1.000000e-03, 9.340000e-01,"Bourgogne-Franche-Comte",2020-03-01,411
 29,0.1522307048,0.2502331,0.020021378,  1, -4.89488547,0.000999001,1000, 29,0.3004686247,0.3104197,0.017658883, 128.0, -0.563516165,0.127872128,1000,-2.14062901,-1.019650e+00, 0.000000e+00, 9.170000e-01,"Bretagne",2020-03-01,411
  6,0.1489502900,0.2815029,0.036126096,  1, -3.66916570,0.000999001,1000,  6,0.2380189800,0.3107764,0.044374340,   5.0, -1.639629053,0.004995005,1000, 0.45053284, 9.995292e-01, 5.940000e-01, 3.060000e-01,"Centre Val de Loire",2020-03-01,411
 22,0.1616369872,0.2570475,0.021902400,  1, -4.35616766,0.000999001,1000, 22,0.2379669361,0.3095874,0.019536290,   1.0, -3.666023512,0.000999001,1000,-3.88075574,-3.395324e-01, 1.800000e-02, 6.200000e-01,"Grand Est",2020-03-01,411
 59,0.1478009557,0.2320556,0.015689568,  1, -5.37010639,0.000999001,1000, 59,0.3331188384,0.3094939,0.011250319, 882.0,  2.099934561,0.881118881,1000,-1.03236001,-9.394624e-01, 0.000000e+00, 9.840000e-01,"Hauts-de-France",2020-03-01,411
 10,0.2159866600,0.2710448,0.028303359, 27, -1.94528548,0.026973027,1000, 10,0.2997767800,0.3093651,0.027372046, 169.0, -0.350296878,0.168831169,1000,-3.11113295, 4.342395e-02, 3.060000e-01, 4.490000e-01,"Ile de France",2020-03-01,411
  5,0.2680054600,0.2850344,0.037908431,224, -0.44921316,0.223776224,1000,  5,0.3051866200,0.3099348,0.041834494, 291.0, -0.113498313,0.290709291,1000,-2.28139438, 4.528889e+00, 8.480000e-01, 1.330000e-01,"Normandie",2020-03-01,411
 43,0.1794305351,0.2411361,0.016828891,  1, -3.66664723,0.000999001,1000, 43,0.2819531415,0.3110391,0.014882937,   1.0, -1.954318020,0.000999001,1000,-4.68952134, 1.591670e-01, 2.000000e-02, 3.660000e-01,"Nouvelle-Aquitaine",2020-03-01,411
 42,0.2346452166,0.2423144,0.017259969,322, -0.44433403,0.321678322,1000, 42,0.3092638604,0.3099434,0.014014504, 762.0, -0.048491138,0.761238761,1000,-7.00378477, 9.906309e-01, 5.340000e-01, 4.000000e-02,"Occitanie",2020-03-01,411
 22,0.2201448382,0.2564779,0.021598212, 45, -1.68222617,0.044955045,1000, 22,0.2992855730,0.3108839,0.021858737, 148.0, -0.530605918,0.147852148,1000,-4.46187518,-6.190482e-01, 4.000000e-03, 7.410000e-01,"Pays de la Loire",2020-03-01,411
 79,0.2144379073,0.2223098,0.013430115,276, -0.58613436,0.275724276,1000, 79,0.3053960945,0.3097012,0.009404663, 374.0, -0.457765315,0.373626374,1000,-8.03009195, 5.518125e-01, 3.400000e-02, 5.400000e-02,"Provence-Alpes-Cote d'Azur",2020-03-01,411
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA,-5.687746e+00, 4.700000e-02, 8.770000e-01,"Auvergne-Rhone-Alpes",2020-06-01, 47
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA,-5.564900e+00, 1.800000e-01, 6.390000e-01,"Hauts-de-France",2020-06-01, 47
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA, 4.570311e+00, 7.830000e-01, 2.040000e-01,"Nouvelle-Aquitaine",2020-06-01, 47
 25,0.0509108028,0.1293612,0.020842705,  1, -3.76392590,0.000999001,1000, 25,0.1225418429,0.2554054,0.013596824,   1.0, -9.771661638,0.000999001,1000, 0.48726518,-1.524583e+00, 0.000000e+00, 9.990000e-01,"Occitanie",2020-06-01, 47
 19,0.1701728605,0.1410790,0.025180293,877,  1.15542198,0.876123876,1000, 19,0.2960059884,0.2568897,0.017059819,1001.0,  2.292888883,1.000000000,1000,-2.33764402,-1.078283e+00, 0.000000e+00, 9.810000e-01,"Provence-Alpes-Cote d'Azur",2020-06-01, 47
  8,0.2073708675,0.2271287,0.048754154,333, -0.40525498,0.332667333,1000,  8,0.2652009293,0.2932700,0.016957646,  87.0, -1.655248344,0.086913087,1000,-2.19673929,-6.890219e-01, 1.000000e-03, 8.260000e-01,"Bretagne",2020-07-01, 85
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA, 2.272539e+02, 3.040000e-01, 5.950000e-01,"Hauts-de-France",2020-07-01, 85
 13,0.1039678912,0.2018261,0.037064949,  7, -2.64018083,0.006993007,1000, 13,0.2158343856,0.2929314,0.012236794,   1.0, -6.300429899,0.000999001,1000, 0.05717470,-5.641896e-01, 0.000000e+00, 8.600000e-01,"Occitanie",2020-07-01, 85
 63,0.1016591130,0.1249395,0.010693662, 15, -2.17703126,0.014985015,1000, 63,0.2851385112,0.2932864,0.002703339,   4.0, -3.014019809,0.003996004,1000,-0.78993208,-2.954672e-01, 0.000000e+00, 7.940000e-01,"Provence-Alpes-Cote d'Azur",2020-07-01, 85
 77,0.1324766006,0.1382233,0.012130325,327, -0.47374416,0.326673327,1000, 77,0.2489032338,0.2574394,0.007547420, 134.0, -1.131008145,0.133866134,1000,-4.65775449, 2.499204e-01, 0.000000e+00, 1.120000e-01,"Auvergne-Rhone-Alpes",2020-11-01,308
  2,0.3120999700,0.2573944,0.064715653,481,  0.84532150,0.480519481,1000,  2,0.3120999700,0.2573250,0.066262596, 483.0,  0.826634377,0.482517483,1000,NA,-2.348631e+00, 1.060000e-01, 7.440000e-01,"Bourgogne-Franche-Comte",2020-11-01,308
 39,0.0614724300,0.1639488,0.018443036,  1, -5.55637384,0.000999001,1000, 39,0.2549210346,0.2567743,0.011358245, 433.0, -0.163166288,0.432567433,1000, 3.88211813,-2.751236e-01, 0.000000e+00, 8.210000e-01,"Bretagne",2020-11-01,308
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA, 8.208891e+03, 1.100000e-02, 9.780000e-01,"Grand Est",2020-11-01,308
  4,0.1867085250,0.2244268,0.037864504, 75, -0.99613791,0.074925075,1000,  4,0.2709280167,0.2573237,0.040523771, 604.0,  0.335712093,0.603396603,1000,-0.60188253,-6.685484e-02, 2.150000e-01, 5.130000e-01,"Hauts-de-France",2020-11-01,308
 40,0.0793113316,0.1632484,0.017501010,  1, -4.79613001,0.000999001,1000, 40,0.2751750800,0.2582808,0.010853667, 947.0,  1.556550595,0.946053946,1000, 0.92871786,-5.170897e-01, 0.000000e+00, 9.490000e-01,"Ile de France",2020-11-01,308
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA, 1.898861e+02, 9.090000e-01, 1.100000e-01,"Normandie",2020-11-01,308
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA,-9.764747e+01, 3.500000e-02, 9.220000e-01,"Nouvelle-Aquitaine",2020-11-01,308
 33,0.0367765023,0.1714398,0.019339016,  1, -6.96329472,0.000999001,1000, 33,0.2277076834,0.2561244,0.012520608,  12.0, -2.269594650,0.011988012,1000, 6.23167364,-7.721048e-01, 0.000000e+00, 9.900000e-01,"Occitanie",2020-11-01,308
  1,NA,NA,NA,NA,NA,NA,1000,  1,NA,NA,NA,NA,NA,NA,1000,NA,-2.774854e+02, 1.420000e-01, 7.730000e-01,"Pays de la Loire",2020-11-01,308
