"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
 4,0.30134038,0.11066241,0.06006311,995.0, 3.17462730,0.994005994,1000, 4,0.35332494,0.1668985,0.082385077, 995,  2.262866094,0.994005994,1000,-1.60545882, -0.97191615,  0.01700000,  0.80900000,"Baden-Wurttemberg",2020-02-01, 24
11,0.02029222,0.09021713,0.02776103,  1.0,-2.51881561,0.000999001,1000,11,0.03830730,0.1659084,0.040123986,   1, -3.180170993,0.000999001,1000, 2.38041454, -1.63242467,  0.00000000,  0.99100000,"Bavaria",2020-02-01, 24
 1,NA,NA,NA,NA,NA,NA,1000, 1,NA,NA,NA,NA,NA,NA,1000,NA, -0.15342655,  0.42800000,  0.31500000,"Bremen",2020-02-01, 24
 8,0.05120608,0.09558369,0.03793496,148.0,-1.16983394,0.147852148,1000, 8,0.07128110,0.1662036,0.052501154,  14, -1.808008032,0.013986014,1000,-2.08072620, -1.17908464,  0.00100000,  0.96400000,"North Rhine-Westphalia",2020-02-01, 24
53,0.16456614,0.22491288,0.02020101,  1.0,-2.98731414,0.000999001,1000,53,0.34950730,0.3656522,0.005627332,  13, -2.869023244,0.012987013,1000,-1.11486011, -0.68713790,  0.00000000,  0.95600000,"Baden-Wurttemberg",2020-03-01,313
48,0.16878340,0.23055889,0.02190865,  2.0,-2.81968539,0.001998002,1000,48,0.35040581,0.3654778,0.005857950,  14, -2.572913154,0.013986014,1000,-2.57966203,  0.07135089,  0.00000000,  0.44600000,"Bavaria",2020-03-01,313
32,0.20456157,0.24839595,0.02776721, 67.0,-1.57863813,0.066933067,1000,32,0.35865752,0.3656807,0.007804781, 162, -0.899858779,0.161838162,1000,-2.88198886, -0.67205077,  0.00000000,  0.89900000,"Berlin",2020-03-01,313
 9,0.27609200,0.30122498,0.05424205,287.0,-0.46334852,0.286713287,1000, 9,0.35569794,0.3645946,0.018136363, 191, -0.490544024,0.190809191,1000,-2.57590057, -0.69146266,  0.02700000,  0.69500000,"Brandenburg",2020-03-01,313
 3,0.37961743,0.34940254,0.07243768,227.0, 0.41711574,0.226773227,1000, 3,0.38005067,0.3671788,0.038645374, 232,  0.333076625,0.231768232,1000,-1.73083229,  0.17131593,  0.49200000,  0.39800000,"Bremen",2020-03-01,313
47,0.21320415,0.22993016,0.02191579,234.0,-0.76319472,0.233766234,1000,47,0.36513528,0.3655621,0.006020511, 420, -0.070888941,0.419580420,1000,-4.70466877,  1.12015021,  0.73500000,  0.00000000,"Hamburg",2020-03-01,313
