"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
27,0.6016982214,0.6414605,0.09894563, 350.0, -0.40186014,0.349650350,1000,27,1.8008756143,1.2831628,0.14252697,1001.0,  3.63238483,1.000000000,1000,-0.605124635, 4.927810e-01, 1.000000e-03, 9.600000e-02,"Abruzzo",2020-03-01,390
18,0.5982205334,0.7261624,0.13121607, 176.0, -0.97504739,0.175824176,1000,18,1.4863274274,1.2781435,0.17571754, 865.0,  1.18476487,0.864135864,1000,-0.497673268, 4.623153e-01, 6.000000e-03, 1.330000e-01,"Apulia",2020-03-01,390
 4,1.2630152575,1.0392036,0.28150134, 739.0,  0.79506440,0.738261738,1000, 4,1.5903023650,1.2738011,0.39876625, 702.0,  0.79370127,0.701298701,1000,-0.430165153, 2.119034e-01, 2.380000e-01, 3.280000e-01,"Basilicata",2020-03-01,390
 5,0.9046872692,0.9702691,0.25462331, 366.0, -0.25756415,0.365634366,1000, 5,1.5765490412,1.2881818,0.34260087, 820.0,  0.84170036,0.819180819,1000, 0.981410311,-8.551332e-01, 0.000000e+00, 8.570000e-01,"Calabria",2020-03-01,390
50,0.4409195608,0.5131420,0.06708455, 144.0, -1.07658798,0.143856144,1000,50,0.9803797943,1.2818338,0.10570464,   4.0, -2.85185221,0.003996004,1000,-1.180801217, 6.244621e-01, 0.000000e+00, 9.000000e-03,"Campania",2020-03-01,390
25,0.6353287436,0.6492377,0.10534157, 445.0, -0.13203643,0.444555445,1000,25,1.1487305192,1.2782053,0.14922912, 199.0, -0.86762407,0.198801199,1000, 0.047512766, 1.361691e-01, 0.000000e+00, 3.430000e-01,"Emilia-Romagna",2020-03-01,390
 9,0.4470416477,0.8618891,0.18571295,   9.0, -2.23381004,0.008991009,1000, 9,0.8333783022,1.2774046,0.24995319,  16.0, -1.77643771,0.015984016,1000,-0.957335930, 4.251223e-01, 6.300000e-02, 1.990000e-01,"Friuli-Venezia Giulia",2020-03-01,390
15,0.5107388646,0.7535986,0.13781591,  39.0, -1.76220415,0.038961039,1000,15,0.8545879689,1.2827681,0.19143709,   7.0, -2.23666220,0.006993007,1000,-2.148749952, 8.404312e-01, 3.550000e-01, 6.000000e-02,"Lazio",2020-03-01,390
75,0.3749067403,0.4408413,0.04725990,  81.0, -1.39514904,0.080919081,1000,75,1.3773044543,1.2807565,0.08174514, 888.0,  1.18108540,0.887112887,1000,-0.008711084, 4.570930e-01, 0.000000e+00, 1.100000e-02,"Lombardia",2020-03-01,390
 9,0.2193551600,0.8727272,0.18959332,   1.0, -3.44617634,0.000999001,1000, 9,0.3749041466,1.2932395,0.25264041,   1.0, -3.63495025,0.000999001,1000, 0.996649559,-2.178383e-01, 0.000000e+00, 6.030000e-01,"Marche",2020-03-01,390
 3,1.3616271700,1.0756331,0.35726923, 699.0,  0.80050001,0.698301698,1000, 3,1.8042680800,1.2790042,0.48495788, 675.0,  1.08311242,0.674325674,1000,-0.023206756, 5.926637e-01, 4.710000e-01, 2.280000e-01,"Molise",2020-03-01,390
 3,0.9211323000,1.0812293,0.36389105, 252.0, -0.43995851,0.251748252,1000, 3,0.9301628067,1.2959541,0.49171226, 217.0, -0.74391326,0.216783217,1000,-1.656750658,-6.767640e-02, 1.960000e-01, 4.180000e-01,"Piemonte",2020-03-01,390
 6,0.3637978168,0.9503204,0.22677318,   3.0, -2.58638404,0.002997003,1000, 6,1.8685268888,1.2754956,0.31769756, 977.0,  1.86665365,0.976023976,1000, 0.693502396, 2.346475e-01, 8.100000e-02, 3.360000e-01,"Sardegna",2020-03-01,390
 3,0.7489920334,1.0788863,0.34913158, 128.0, -0.94489958,0.127872128,1000, 3,1.4977840669,1.2799427,0.47875512, 581.0,  0.45501628,0.580419580,1000, 1.748289043, 2.029920e-01, 3.080000e-01, 3.330000e-01,"Sicialia",2020-03-01,390
42,0.4740139440,0.5471423,0.07535768, 172.0, -0.97041642,0.171828172,1000,42,1.0861390870,1.2833975,0.10919969,  47.0, -1.80640115,0.046953047,1000,-1.377900138, 7.741325e-01, 5.400000e-02, 4.000000e-03,"Trentino-Alto Adige",2020-03-01,390
24,0.4604069458,0.6608184,0.10605773,  27.0, -1.88964465,0.026973027,1000,24,1.1939973217,1.2914462,0.15178518, 252.0, -0.64201857,0.251748252,1000,-0.265722027, 2.875157e-01, 0.000000e+00, 2.130000e-01,"Tuscany",2020-03-01,390
 2,0.9396271300,1.2771405,0.63144069, 673.0, -0.53451310,0.672327672,1000, 2,0.9396271300,1.2438178,0.61576075, 708.0, -0.49400792,0.707292707,1000,NA,-5.401008e-01, 2.760000e-01, 5.130000e-01,"Umbria",2020-03-01,390
70,0.3388978262,0.4529827,0.05017510,  10.0, -2.27373475,0.009990010,1000,70,1.1367306949,1.2828087,0.08246206,  38.0, -1.77145708,0.037962038,1000, 1.722123956, 3.849397e-01, 0.000000e+00, 2.900000e-02,"Veneto",2020-03-01,390
18,0.4897258639,0.7799918,0.15028025,  23.0, -1.93149757,0.022977023,1000,18,1.2408835769,1.2998463,0.18598563, 382.0, -0.31702840,0.381618382,1000, 1.332886473,-4.814840e-01, 0.000000e+00, 8.610000e-01,"Abruzzo",2020-04-01,294
25,0.3828292088,0.7190260,0.11871418,   2.0, -2.83198507,0.001998002,1000,25,1.4918755858,1.2952103,0.15241587, 902.0,  1.29032055,0.901098901,1000, 1.836439759,-2.985398e-01, 0.000000e+00, 7.570000e-01,"Apulia",2020-04-01,294
 3,0.9369608300,1.0954975,0.39252258, 487.0, -0.40389180,0.486513487,1000, 3,0.9376277000,1.3087942,0.49313614, 475.0, -0.75266540,0.474525475,1000,-1.730569835,-6.661837e-01, 2.140000e-01, 4.550000e-01,"Basilicata",2020-04-01,294
15,0.0071648068,0.8166337,0.15869297,   1.0, -5.10084918,0.000999001,1000,15,0.0279776687,1.2980962,0.19804861,   1.0, -6.41316581,0.000999001,1000, 3.493588141,-1.340751e+00, 0.000000e+00, 1.000000e+00,"Calabria",2020-04-01,294
68,0.2469098007,0.5160253,0.06238145,   1.0, -4.31403036,0.000999001,1000,68,0.8569735984,1.3009166,0.08719963,   1.0, -5.09111133,0.000999001,1000, 0.877723893,-6.141040e-02, 0.000000e+00, 6.330000e-01,"Campania",2020-04-01,294
10,0.4958913530,0.9085687,0.18958952,  14.0, -2.17668857,0.013986014,1000,10,1.5902925927,1.2879122,0.25310624, 855.0,  1.19467771,0.854145854,1000, 1.275676923,-5.252667e-01, 0.000000e+00, 7.950000e-01,"Emilia-Romagna",2020-04-01,294
