"metricsnames","statesnames"
"Auvergne-Rhone-Alpes","Auvergne-Rhône-Alpes"
"Bourgogne-Franche-Comte","Bourgogne-Franche-Comté"
"Bretagne","Bretagne"
"Centre Val de Loire","Centre-Val de Loire"
"Corse","Corse"
"Grand Est","Grand Est"
"Hauts-de-France","Hauts-de-France"
"Ile de France","Île-de-France"
"Normandie","Normandie"
"Nouvelle-Aquitaine","Nouvelle-Aquitaine"
"Occitanie","Occitanie"
"Pays de la Loire","Pays de la Loire"
"Provence-Alpes-Cote d'Azur","Provence-Alpes-Côte d'Azur"
"Baden-Wurttemberg","Baden-Württemberg"
"Bavaria","Bayern"
"Berlin","Berlin"
"Brandenburg","Brandenburg"
"Bremen","Bremen"
"Hamburg","Hamburg"
"Hesse","Hessen"
"Lower Saxony","Niedersachsen"
"Mecklenburg-Western Pomerania","Mecklenburg-Vorpommern"
"North Rhine-Westphalia","Nordrhein-Westfalen"
"Rhineland-Palatinate","Rheinland-Pfalz"
"Saarland","Saarland"
"Saxony","Sachsen"
"Saxony-Anhalt","Sachsen-Anhalt"
"Schleswig-Holstein","Schleswig-Holstein"
"Thuringia","Thüringen"
"Andalusia","Andalucía"
"Aragon","Aragón"
"Asturias","Principado de Asturias"
"Balearic Islands","Islas Baleares"
"Basque Country","País Vasco"
"Canary Islands","Islas Canarias"
"Cantabria","Cantabria"
"Castilla-La Mancha","Castilla-La Mancha"
"Castilla y Leon","Castilla y León"
"Catalunya","Cataluña"
"Comunitat Valenciana","Comunidad Valenciana"
"Galicia","Galicia"
"La Rioja","La Rioja"
"Madrid","Comunidad de Madrid"
"Melilla","Ceuta y Melilla"
"Murcia","Región de Murcia"
"Navarra","Comunidad Foral de Navarra"
"Extremadura","Extremadura"
"Abruzzo","Abruzzo"
"Apulia","Apulia"
"Basilicata","Basilicata"
"Calabria","Calabria"
"Campania","Campania"
"Emilia-Romagna","Emilia-Romagna"
"Friuli-Venezia Giulia","Friuli-Venezia Giulia"
"Lazio","Lazio"
"Liguria","Liguria"
"Lombardia","Lombardia"
"Marche","Marche"
"Molise","Molise"
"Piemonte","Piemonte"
"Sardegna","Sardegna"
"Sicilia","Sicily"
"Tuscany","Toscana"
"Trentino-Alto Adige","Trentino-Alto Adige"
"Umbria","Umbria"
"Veneto","Veneto"
