"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","d.D","d.P(D=1)","d.P(D=0)","area","month","tree_size"
57,0.1897658053,0.1907134,0.01227747,475, -0.07717951,0.474525475,1000,57,0.2914096288,0.2972225,0.002288194,  13.0, -2.540377086,0.012987013,1000,-7.097250e+00,   1.07904593,   0.67500000,   0.00000000,"Andalusia",2020-03-01,539
32,0.1435506705,0.2134318,0.01584527,  1, -4.41022193,0.000999001,1000,32,0.2889244054,0.2973004,0.003159089,  14.0, -2.651381582,0.013986014,1000,-3.483741e+00,  -0.13777062,   0.00000000,   0.64300000,"Aragon",2020-03-01,539
23,0.1826514787,0.2247942,0.01785390, 22, -2.36041814,0.021978022,1000,23,0.2969120728,0.2971829,0.003967986, 410.0, -0.068253588,0.409590410,1000,-4.110313e+00,   0.39855096,   0.04900000,   0.21500000,"Asturias",2020-03-01,539
29,0.1901591105,0.2169710,0.01635454, 68, -1.63941515,0.067932068,1000,29,0.3025556887,0.2972399,0.003316872, 977.0,  1.602643441,0.976023976,1000,-4.861228e+00,   1.18860699,   0.73100000,   0.00200000,"Balearic Islands",2020-03-01,539
64,0.1378345419,0.1865187,0.01136070,  1, -4.28531465,0.000999001,1000,64,0.2721934282,0.2974086,0.002119624,   1.0,-11.896058995,0.000999001,1000,-5.122774e+00,   0.30568790,   0.00000000,   0.12100000,"Basque Country",2020-03-01,539
25,0.2533364772,0.2220171,0.01789070,971,  1.75059573,0.970029970,1000,25,0.3030566793,0.2974263,0.003673648, 975.0,  1.532645371,0.974025974,1000,-6.783087e+00,   1.35646659,   0.83400000,   0.00500000,"Canary Islands",2020-03-01,539
 5,0.2988233248,0.2734196,0.03020023,678,  0.84117725,0.677322677,1000, 5,0.3038378068,0.2974143,0.011398192, 661.0,  0.563557775,0.660339660,1000,-2.866009e+00,   1.02731290,   0.55700000,   0.26000000,"Cantabria",2020-03-01,539
10,0.1518196670,0.2526492,0.02531344,  4, -3.98324189,0.003996004,1000,10,0.2730230184,0.2972937,0.007023759,  11.0, -3.455507660,0.010989011,1000,-1.224973e+00,  -0.30932299,   0.02300000,   0.63000000,"Castilla y Leon",2020-03-01,539
 9,0.1439835283,0.2565304,0.02471872,  2, -4.55310128,0.001998002,1000, 9,0.2544014061,0.2971293,0.007699781,   3.0, -5.549234805,0.002997003,1000,-2.819592e-01,  -1.55421777,   0.00000000,   0.94000000,"Castilla-La Mancha",2020-03-01,539
46,0.2005044468,0.1997060,0.01322133,511,  0.06039229,0.510489510,1000,46,0.2965894153,0.2972775,0.002522931, 338.0, -0.272746657,0.337662338,1000,-7.103046e+00,   0.15477112,   0.00000000,   0.32900000,"Catalunya",2020-03-01,539
