"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
6,0.286691028514535,0.326768325722149,0.0585847304292257,265,-0.684091177239956,0.264735264735265,1000,6,0.352063331591504,0.422762166643851,0.064479891354408,138,-1.09644780050508,0.137862137862138,1000,-2.13604795473308,"Austria",2020-04-01,82
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Belarus",2020-04-01,82
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Belgium",2020-04-01,82
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Bulgaria",2020-04-01,82
2,0.391718672733987,0.422838941407495,0.128870672789119,365.5,-0.241484489837601,0.365134865134865,1000,2,0.391718672733987,0.430436717623124,0.12790802160838,356,-0.302702241831876,0.355644355644356,1000,NA,"Cyprus",2020-04-01,82
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Czech Republic",2020-04-01,82
5,0.2579859635714,0.337221081412418,0.0624813431801407,91,-1.2681404369393,0.0909090909090909,1000,5,0.349442482087215,0.425033873257202,0.0721131538344973,139,-1.04823304973558,0.138861138861139,1000,-1.2927787135782,"Denmark",2020-04-01,82
4,0.260084568644231,0.352329575513357,0.071395423357848,94,-1.29202969225037,0.0939060939060939,1000,4,0.322298952106432,0.422350992430821,0.0804129848304892,84,-1.24422741594905,0.0839160839160839,1000,-0.156926405304011,"Finland",2020-04-01,82
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"France",2020-04-01,82
3,0.526333492773726,0.375841056950569,0.0882400926514196,964,1.70548818911213,0.963036963036963,1000,3,0.608124997695086,0.42460641573165,0.0953165596268491,982.5,1.92535885350757,0.981518481518482,1000,-0.919867662279296,"Germany",2020-04-01,82
